1|Πάω|나는 갑니다||16/20|80%|00:00:02.615|00:00:01.022|correct|2025-02-16 16:12:39
2|Πας|너는 간다||17/22|77%|00:00:04.184|00:00:01.233|correct|2025-02-16 16:12:39
3|Πάει|그/그녀는 간다||16/20|80%|00:00:08.351|00:00:02.405|correct|2025-02-16 16:12:39
4|Πάμε|우리는 간다||16/20|80%|00:00:04.403|00:00:01.509|correct|2025-02-16 16:12:39
5|Πάτε|너희는 간다||16/19|84%|00:00:04.766|00:00:01.730|correct|2025-02-16 16:12:39
6|Πάνε|그들은 간다||16/25|64%|00:00:05.250|00:00:01.850|correct|2025-02-16 16:14:34
7|Κάνω|나는 한다||16/17|94%|00:00:06.460|00:00:01.018|correct|2025-02-16 16:12:39
8|Κάνεις|너는 한다||15/17|88%|00:00:05.385|00:00:01.516|correct|2025-02-16 16:12:39
9|Κάνει|그/그녀는 한다||15/17|88%|00:00:04.984|00:00:02.027|correct|2025-02-16 16:12:39
10|Κάνουμε|우리는 한다||15/19|78%|00:00:04.519|00:00:01.732|correct|2025-02-16 16:12:39
11|Κάνετε|너희는 한다||16/17|94%|00:00:03.267|00:00:01.985|correct|2025-02-16 16:12:39
12|Κάνουν|그들은 한다||14/18|77%|00:00:06.850|00:00:03.353|correct|2025-02-16 16:12:39
13|Έχω|나는 가지고 있다||17/19|89%|00:00:04.350|00:00:01.640|correct|2025-02-16 16:12:39
14|Έχεις|너는 가지고 있다||17/21|80%|00:00:03.933|00:00:02.029|correct|2025-02-16 16:12:39
15|Έχει|그/그녀는 가지고 있다||15/19|78%|00:00:04.616|00:00:02.206|correct|2025-02-16 16:12:39
16|Έχουμε|우리는 가지고 있다||16/21|76%|00:00:10.300|00:00:02.577|correct|2025-02-16 16:12:39
17|Έχετε|너희는 가지고 있다||16/19|84%|00:00:11.465|00:00:02.539|correct|2025-02-16 16:12:39
18|Έχουν|그들은 가지고 있다||17/19|89%|00:00:05.217|00:00:02.973|correct|2025-02-16 16:12:39
19|Βλέπω|나는 본다||17/21|80%|00:00:04.366|00:00:01.149|correct|2025-02-16 16:12:39
20|Βλέπεις|너는 본다||17/22|77%|00:00:07.585|00:00:01.177|correct|2025-02-16 16:12:39
21|Βλέπει|그/그녀는 본다||17/22|77%|00:00:04.283|00:00:02.032|correct|2025-02-16 16:14:34
22|Βλέπουμε|우리는 본다||16/21|76%|00:00:12.533|00:00:01.361|correct|2025-02-16 16:12:39
23|Βλέπετε|너희는 본다||17/22|77%|00:00:04.800|00:00:02.244|correct|2025-02-16 16:12:39
24|Βλέπουν|그들은 본다||17/21|80%|00:00:04.781|00:00:02.743|correct|2025-02-16 16:12:39
25|Γράφω|나는 쓴다||16/17|94%|00:00:04.619|00:00:01.428|correct|2025-02-16 16:12:39
26|Γράφεις|너는 쓴다||16/17|94%|00:00:03.616|00:00:01.380|correct|2025-02-16 16:12:39
27|Γράφει|그/그녀는 쓴다||16/18|88%|00:00:10.383|00:00:02.850|correct|2025-02-16 16:12:39
28|Γράφουμε|우리는 쓴다||16/21|76%|00:00:03.934|00:00:01.978|correct|2025-02-16 16:12:39
29|Γράφετε|너희는 쓴다||16/17|94%|00:00:05.630|00:00:02.282|correct|2025-02-16 16:12:39
30|Γράφουν|그들은 쓴다||18/21|85%|00:00:03.782|00:00:02.656|correct|2025-02-16 16:12:39
31|Μαθαίνω|나는 배운다||18/24|75%|00:00:03.716|00:00:01.386|correct|2025-02-16 16:12:39
32|Μαθαίνεις|너는 배운다||19/24|79%|00:00:03.784|00:00:02.003|correct|2025-02-16 16:12:39
33|Μαθαίνει|그/그녀는 배운다||19/26|73%|00:00:05.525|00:00:03.000|correct|2025-02-16 16:14:34
34|Μαθαίνουμε|우리는 배운다||18/24|75%|00:00:04.003|00:00:01.524|correct|2025-02-16 16:12:39
35|Μαθαίνετε|너희는 배운다||19/25|76%|00:00:04.317|00:00:02.097|correct|2025-02-16 16:12:39
36|Μαθαίνουν|그들은 배운다||18/25|72%|00:00:03.918|00:00:03.918|correct|2025-02-16 16:12:39
